meta_url,name,num,lat,lon,junk
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BIT,LAKE BRITTON,2744,41.022,121.676 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BIX,BIXLER ROAD,14,37.94,121.622 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BJP,BYRON JACKSON PUMPS,35,38.87,121.753 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BKD,BLACK DIAMOND MINES,1600,37.95,121.884 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BKH,BUCKHORN,7100,34.342,117.918 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BKK,BLACKROCK,8200,36.093,118.261 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BKL,BUCKS LAKE,5750,39.85,121.242 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BKM,BUCK MEADOWS,3200,37.823,120.098 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BKP,BUCKS CREEK PH,1760,39.917,121.333 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BKR,BAKER,700,40.283,122.373 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BKS,BARKER SLOUGH PUMPING PLANT (KG000000),0,38.276,121.788 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BKY,BUCKEYE FORKS,8500,38.17,119.483 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BL2,BLUE CANYON #2 (ETI),5280,39.283,120.7 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BLA,BLACKS MOUNTAIN,7050,40.77,121.198 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BLB,BLACK BUTTE,426,39.808,122.329 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BLC,BLUE CANYON,5280,39.276,120.708 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BLD,BLOODS CREEK,7200,38.45,120.033 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BLF,BULLFROG LAKE,10650,36.77,118.398 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BLH,BALCH PH,1720,36.917,119.083 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BLK,BLUE LAKES,8000,38.613,119.931 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BLL,BLACKLOCK (NE1),0,38.1801,121.9069 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BLM,BLACK MOUNTAIN,3625,35.395,120.353 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BLN,BEN LOMOND,365,37.093,122.075 ,
